X_Position,Z_Line,Z_Sine,Z_Triangle
0,5,5,5
0.0400801603206413,5.0060120240481,5.07554133716042,5.02404809619238
0.0801603206412826,5.01202404809619,5.15103476937509,5.04809619238477
0.120240480961924,5.01803607214429,5.22643242207745,5.07214428857715
0.160320641282565,5.02404809619238,5.30168648144002,5.09619238476954
0.200400801603206,5.03006012024048,5.37674922469584,5.12024048096192
0.240480961923848,5.03607214428858,5.45157305040204,5.14428857715431
0.280561122244489,5.04208416833667,5.52611050862664,5.16833667334669
0.32064128256513,5.04809619238477,5.60031433103913,5.19238476953908
0.360721442885772,5.05410821643287,5.67413746088595,5.21643286573146
0.400801603206413,5.06012024048096,5.74753308283176,5.24048096192385
0.440881763527054,5.06613226452906,5.82045465264768,5.26452905811623
0.480961923847695,5.07214428857715,5.89285592672753,5.28857715430862
0.521042084168337,5.07815631262525,5.96469099141349,5.312625250501
0.561122244488978,5.08416833667335,6.03591429211245,5.33667334669339
0.601202404809619,5.09018036072144,6.10648066218474,5.36072144288577
0.64128256513026,5.09619238476954,6.17634535158679,5.38476953907816
0.681362725450902,5.10220440881764,6.2454640552496,5.40881763527054
0.721442885771543,5.10821643286573,6.31379294117503,5.43286573146293
0.761523046092184,5.11422845691383,6.38128867823214,5.45691382765531
0.801603206412826,5.12024048096192,6.44790846363581,5.48096192384769
0.841683366733467,5.12625250501002,6.51361005009038,5.50501002004008
0.881763527054108,5.13226452905812,6.578351772581,5.52905811623246
0.92184368737475,5.13827655310621,6.64209257479574,5.55310621242485
0.961923847695391,5.14428857715431,6.70479203516161,5.57715430861723
1.00200400801603,5.1503006012024,6.76641039247821,5.60120240480962
1.04208416833667,5.1563126252505,6.82690857113242,5.625250501002
1.08216432865731,5.1623246492986,6.88624820587848,5.64929859719439
1.12224448897796,5.16833667334669,6.94439166616747,5.67334669338677
1.1623246492986,5.17434869739479,7.00130208001095,5.69739478957916
1.20240480961924,5.18036072144289,7.05694335736352,5.72144288577154
1.24248496993988,5.18637274549098,7.11128021300953,5.74549098196393
1.28256513026052,5.19238476953908,7.16427818893937,5.76953907815631
1.32264529058116,5.19839679358717,7.21590367620121,5.7935871743487
1.3627254509018,5.20440881763527,7.26612393621431,5.81763527054108
1.40280561122244,5.21042084168337,7.31490712153034,5.84168336673347
1.44288577154309,5.21643286573146,7.36222229602965,5.86573146292585
1.48296593186373,5.22244488977956,7.40803945453953,5.88977955911824
1.52304609218437,5.22845691382765,7.4523295418622,5.91382765531062
1.56312625250501,5.23446893787575,7.49506447120027,5.93787575150301
1.60320641282565,5.24048096192385,7.5362171419682,5.96192384769539
1.64328657314629,5.24649298597194,7.57576145697819,5.98597194388778
1.68336673346693,5.25250501002004,7.61367233898996,6.01002004008016
1.72344689378758,5.25851703406814,7.64992574661352,6.03406813627254
1.76352705410822,5.26452905811623,7.6844986895552,6.05811623246493
1.80360721442886,5.27054108216433,7.71736924319707,6.08216432865732
1.8436873747495,5.27655310621242,7.74851656250053,6.1062124248497
1.88376753507014,5.28256513026052,7.77792089522532,6.13026052104208
1.92384769539078,5.28857715430862,7.80556359445549,6.15430861723447
1.96392785571142,5.29458917835671,7.83142713042449,6.17835671342685
2.00400801603206,5.30060120240481,7.85549510163169,6.20240480961924
2.04408817635271,5.30661322645291,7.87775224524356,6.22645290581162
2.08416833667335,5.312625250501,7.89818444677262,6.25050100200401
2.12424849699399,5.3186372745491,7.91677874902824,6.27454909819639
2.16432865731463,5.32464929859719,7.93352336033353,6.29859719438878
2.20440881763527,5.33066132264529,7.94840766200304,6.32264529058116
2.24448897795591,5.33667334669339,7.96142221507674,6.34669338677355
2.28456913827655,5.34268537074148,7.9725587663057,6.37074148296593
2.32464929859719,5.34869739478958,7.98181025338599,6.39478957915832
2.36472945891784,5.35470941883768,7.98917080943726,6.4188376753507
2.40480961923848,5.36072144288577,7.99463576672326,6.44288577154309
2.44488977955912,5.36673346693387,7.9982016596119,6.46693386773547
2.48496993987976,5.37274549098196,7.99986622677299,6.49098196392786
2.5250501002004,5.37875751503006,7.99962841261231,6.51503006012024
2.56513026052104,5.38476953907816,7.99748836794099,6.53907815631263
2.60521042084168,5.39078156312625,7.99344744987988,6.56312625250501
2.64529058116232,5.39679358717435,7.98750822099893,6.58717434869739
